Sale Key,City Key,Customer Key,Stock Item Key,Invoice Date Key,Delivery Date Key,Salesperson Key,WWI Invoice ID,Quantity,Unit Price,Tax Rate,Total Excluding Tax,Tax Amount,Profit,Total Including Tax,Total Dry Items,Total Chiller Items
47742,43854,0,190,2018-03-05,2018-03-06,16,14729,1,13.0,15,13.0,1.95,8.5,14.95,1,0
48956,78035,0,202,2018-03-13,2018-03-14,15,15096,1,13.0,15,13.0,1.95,8.5,14.95,1,0
49184,92478,0,203,2018-03-15,2018-03-16,7,15162,1,13.0,15,13.0,1.95,8.5,14.95,1,0
49374,69332,0,186,2018-03-16,2018-03-17,6,15219,1,13.0,15,13.0,1.95,8.5,14.95,1,0
56882,56111,0,198,2018-04-27,2018-05-03,6,17512,1,13.0,15,13.0,1.95,8.5,14.95,1,0
57068,82826,0,167,2018-04-28,2018-05-05,8,17572,1,13.0,15,13.0,1.95,8.5,14.95,1,0
57429,42598,0,172,2018-05-01,2018-05-08,16,17684,1,13.0,15,13.0,1.95,8.5,14.95,1,0
57669,84888,0,173,2018-05-02,2018-05-03,13,17757,1,13.0,15,13.0,1.95,8.5,14.95,1,0
58705,42573,0,201,2018-05-10,2018-05-11,16,18085,1,13.0,15,13.0,1.95,8.5,14.95,1,0
59359,43854,0,165,2018-05-15,2018-05-16,16,18288,1,13.0,15,13.0,1.95,8.5,14.95,1,0
111430,97306,0,199,2019-03-03,2019-03-09,14,34318,1,13.0,15,13.0,1.95,8.5,14.95,1,0
111639,49373,0,192,2019-03-04,2019-03-05,6,34386,1,13.0,15,13.0,1.95,8.5,14.95,1,0
113625,85890,0,181,2019-03-15,2019-03-16,13,34992,1,13.0,15,13.0,1.95,8.5,14.95,1,0
115336,47499,0,184,2019-03-22,2019-03-23,7,35512,1,13.0,15,13.0,1.95,8.5,14.95,1,0
115691,47921,0,190,2019-03-22,2019-03-23,13,35622,1,13.0,15,13.0,1.95,8.5,14.95,1,0
116270,101245,0,177,2019-03-25,2019-03-26,8,35796,1,13.0,15,13.0,1.95,8.5,14.95,1,0
117704,67099,0,169,2019-04-01,2019-04-02,6,36242,1,13.0,15,13.0,1.95,8.5,14.95,1,0
117815,95253,0,186,2019-04-02,2019-04-03,6,36277,1,13.0,15,13.0,1.95,8.5,14.95,1,0
119866,84656,0,181,2019-04-12,2019-04-13,13,36892,1,13.0,15,13.0,1.95,8.5,14.95,1,0
120096,47499,0,194,2019-04-15,2019-04-16,7,36960,1,13.0,15,13.0,1.95,8.5,14.95,1,0
120363,105949,0,169,2019-04-16,2019-04-17,7,37045,1,13.0,15,13.0,1.95,8.5,14.95,1,0
121269,101568,0,185,2019-04-24,2019-04-25,8,37328,1,13.0,15,13.0,1.95,8.5,14.95,1,0
122511,96703,0,176,2019-05-01,2019-05-08,6,37708,1,13.0,15,13.0,1.95,8.5,14.95,1,0
124698,76309,0,196,2019-05-11,2019-05-12,6,38387,1,13.0,15,13.0,1.95,8.5,14.95,1,0
124915,82995,0,193,2019-05-14,2019-05-15,8,38458,1,13.0,15,13.0,1.95,8.5,14.95,1,0
124954,47471,0,186,2019-05-14,2019-05-15,7,38470,1,13.0,15,13.0,1.95,8.5,14.95,1,0
126000,95253,0,167,2019-05-19,2019-05-20,6,38799,1,13.0,15,13.0,1.95,8.5,14.95,1,0
126779,68127,0,195,2019-05-22,2019-05-23,8,39036,1,13.0,15,13.0,1.95,8.5,14.95,1,0
60991,38845,0,184,2018-05-23,2018-05-24,8,18778,1,13.0,15,13.0,1.95,8.5,14.95,1,0
62118,70334,0,165,2018-05-29,2018-06-05,8,19122,1,13.0,15,13.0,1.95,8.5,14.95,1,0
68468,55847,0,164,2018-07-04,2018-07-05,15,21075,1,13.0,15,13.0,1.95,8.5,14.95,1,0
68711,68739,0,200,2018-07-05,2018-07-06,6,21149,1,13.0,15,13.0,1.95,8.5,14.95,1,0
70332,82394,0,188,2018-07-16,2018-07-17,6,21655,1,13.0,15,13.0,1.95,8.5,14.95,1,0
74999,43979,0,173,2018-08-13,2018-08-16,16,23061,1,13.0,15,13.0,1.95,8.5,14.95,1,0
75882,82633,0,189,2018-08-19,2018-08-22,15,23335,1,13.0,15,13.0,1.95,8.5,14.95,1,0
77042,67264,0,166,2018-08-26,2018-08-29,6,23697,1,13.0,15,13.0,1.95,8.5,14.95,1,0
78276,81632,0,197,2018-09-02,2018-09-03,16,24067,1,13.0,15,13.0,1.95,8.5,14.95,1,0
79133,69264,0,185,2018-09-07,2018-09-09,6,24323,1,13.0,15,13.0,1.95,8.5,14.95,1,0
80706,77447,0,163,2018-09-15,2018-09-17,15,24821,1,13.0,15,13.0,1.95,8.5,14.95,1,0
84847,47471,0,203,2018-10-07,2018-10-08,7,26078,1,13.0,15,13.0,1.95,8.5,14.95,1,0
85461,61710,0,163,2018-10-11,2018-10-13,8,26261,1,13.0,15,13.0,1.95,8.5,14.95,1,0
86912,77852,0,183,2018-10-20,2018-10-23,13,26720,1,13.0,15,13.0,1.95,8.5,14.95,1,0
88690,70334,0,190,2018-10-27,2018-10-31,8,27265,1,13.0,15,13.0,1.95,8.5,14.95,1,0
92342,70510,0,187,2018-11-15,2018-11-16,8,28393,1,13.0,15,13.0,1.95,8.5,14.95,1,0
95590,89925,0,183,2018-12-02,2018-12-03,3,29399,1,13.0,15,13.0,1.95,8.5,14.95,1,0
97039,98706,0,187,2018-12-09,2018-12-10,8,29850,1,13.0,15,13.0,1.95,8.5,14.95,1,0
97048,66573,0,163,2018-12-09,2018-12-10,8,29852,1,13.0,15,13.0,1.95,8.5,14.95,1,0
97528,52627,0,182,2018-12-13,2018-12-14,16,30002,1,13.0,15,13.0,1.95,8.5,14.95,1,0
99912,93242,0,166,2018-12-23,2018-12-24,8,30739,1,13.0,15,13.0,1.95,8.5,14.95,1,0
105124,76486,0,167,2019-01-24,2019-01-25,15,32366,1,13.0,15,13.0,1.95,8.5,14.95,1,0
105888,94644,0,182,2019-01-28,2019-02-02,7,32606,1,13.0,15,13.0,1.95,8.5,14.95,1,0
106914,85807,0,164,2019-02-03,2019-02-04,13,32917,1,13.0,15,13.0,1.95,8.5,14.95,1,0
108043,104202,0,203,2019-02-11,2019-02-12,8,33269,1,13.0,15,13.0,1.95,8.5,14.95,1,0
108468,48833,0,173,2019-02-14,2019-02-15,3,33405,1,13.0,15,13.0,1.95,8.5,14.95,1,0
109249,90241,0,204,2019-02-17,2019-02-18,15,33649,1,13.0,15,13.0,1.95,8.5,14.95,1,0
109604,91567,0,178,2019-02-20,2019-02-21,7,33760,1,13.0,15,13.0,1.95,8.5,14.95,1,0
110097,48004,0,201,2019-02-23,2019-02-24,13,33910,1,13.0,15,13.0,1.95,8.5,14.95,1,0
177356,72761,0,199,2020-02-03,2020-02-04,3,54684,1,13.0,15,13.0,1.95,8.5,14.95,1,0
177860,61710,0,188,2020-02-06,2020-02-07,8,54852,1,13.0,15,13.0,1.95,8.5,14.95,1,0
178350,109282,0,202,2020-02-08,2020-02-09,15,55001,1,13.0,15,13.0,1.95,8.5,14.95,1,0
179945,91757,0,165,2020-02-16,2020-02-17,13,55494,1,13.0,15,13.0,1.95,8.5,14.95,1,0
180217,93616,0,190,2020-02-17,2020-02-18,7,55574,1,13.0,15,13.0,1.95,8.5,14.95,1,0
180340,109928,0,203,2020-02-19,2020-02-20,13,55613,1,13.0,15,13.0,1.95,8.5,14.95,1,0
181329,47499,0,190,2020-02-24,2020-02-25,7,55920,1,13.0,15,13.0,1.95,8.5,14.95,1,0
183055,84827,0,169,2020-03-05,2020-03-06,13,56448,1,13.0,15,13.0,1.95,8.5,14.95,1,0
184948,54129,0,174,2020-03-13,2020-03-14,15,57019,1,13.0,15,13.0,1.95,8.5,14.95,1,0
186581,109758,0,173,2020-03-21,2020-03-22,7,57524,1,13.0,15,13.0,1.95,8.5,14.95,1,0
186865,47921,0,190,2020-03-22,2020-03-23,13,57616,1,13.0,15,13.0,1.95,8.5,14.95,1,0
189469,103906,0,163,2020-04-03,2020-04-04,14,58423,1,13.0,15,13.0,1.95,8.5,14.95,1,0
189973,113251,0,182,2020-04-05,2020-04-06,7,58575,1,13.0,15,13.0,1.95,8.5,14.95,1,0
191192,86434,0,184,2020-04-11,2020-04-12,16,58955,1,13.0,15,13.0,1.95,8.5,14.95,1,0
193669,66176,0,163,2020-04-26,2020-04-27,3,59728,1,13.0,15,13.0,1.95,8.5,14.95,1,0
195527,105327,0,174,2020-05-06,2020-05-07,14,60299,1,13.0,15,13.0,1.95,8.5,14.95,1,0
195731,104509,0,169,2020-05-07,2020-05-08,8,60361,1,13.0,15,13.0,1.95,8.5,14.95,1,0
196279,110256,0,201,2020-05-10,2020-05-11,8,60532,1,13.0,15,13.0,1.95,8.5,14.95,1,0
197053,114058,0,172,2020-05-15,2020-05-16,7,60773,1,13.0,15,13.0,1.95,8.5,14.95,1,0
127463,95253,0,170,2019-05-27,2019-05-28,6,39248,1,13.0,15,13.0,1.95,8.5,14.95,1,0
127692,104234,0,170,2019-05-27,2019-05-29,8,39317,1,13.0,15,13.0,1.95,8.5,14.95,1,0
127693,104234,0,181,2019-05-27,2019-05-29,8,39317,1,13.0,15,13.0,1.95,8.5,14.95,1,0
130077,101013,0,201,2019-06-11,2019-06-12,8,40065,1,13.0,15,13.0,1.95,8.5,14.95,1,0
132809,95253,0,197,2019-06-25,2019-06-26,6,40899,1,13.0,15,13.0,1.95,8.5,14.95,1,0
133138,101493,0,183,2019-06-26,2019-06-28,8,41004,1,13.0,15,13.0,1.95,8.5,14.95,1,0
135591,104953,0,196,2019-07-10,2019-07-11,6,41764,1,13.0,15,13.0,1.95,8.5,14.95,1,0
135951,68127,0,190,2019-07-11,2019-07-12,8,41870,1,13.0,15,13.0,1.95,8.5,14.95,1,0
137289,69283,0,164,2019-07-18,2019-07-19,6,42283,1,13.0,15,13.0,1.95,8.5,14.95,1,0
138250,84656,0,179,2019-07-25,2019-07-27,13,42577,1,13.0,15,13.0,1.95,8.5,14.95,1,0
138410,82963,0,199,2019-07-26,2019-07-29,8,42626,1,13.0,15,13.0,1.95,8.5,14.95,1,0
138617,97381,0,201,2019-07-27,2019-07-28,14,42688,1,13.0,15,13.0,1.95,8.5,14.95,1,0
139163,91534,0,204,2019-07-29,2019-08-04,7,42857,1,13.0,15,13.0,1.95,8.5,14.95,1,0
140023,44901,0,163,2019-08-02,2019-08-03,13,43123,1,13.0,15,13.0,1.95,8.5,14.95,1,0
143451,95033,0,188,2019-08-19,2019-08-20,14,44177,1,13.0,15,13.0,1.95,8.5,14.95,1,0
145281,48004,0,204,2019-08-29,2019-09-02,13,44745,1,13.0,15,13.0,1.95,8.5,14.95,1,0
146208,99456,0,199,2019-09-02,2019-09-03,6,45032,1,13.0,15,13.0,1.95,8.5,14.95,1,0
149996,95033,0,166,2019-09-20,2019-09-21,14,46199,1,13.0,15,13.0,1.95,8.5,14.95,1,0
151336,83491,0,202,2019-09-27,2019-09-30,13,46615,1,13.0,15,13.0,1.95,8.5,14.95,1,0
151964,82266,0,167,2019-09-30,2019-10-06,13,46813,1,13.0,15,13.0,1.95,8.5,14.95,1,0
155498,82963,0,164,2019-10-19,2019-10-20,8,47911,1,13.0,15,13.0,1.95,8.5,14.95,1,0
157863,100840,0,202,2019-10-28,2019-11-01,6,48631,1,13.0,15,13.0,1.95,8.5,14.95,1,0
158666,55567,0,200,2019-11-01,2019-11-02,16,48881,1,13.0,15,13.0,1.95,8.5,14.95,1,0
163005,106020,0,179,2019-11-24,2019-11-25,6,50218,1,13.0,15,13.0,1.95,8.5,14.95,1,0
163598,68739,0,199,2019-11-28,2019-11-29,6,50410,1,13.0,15,13.0,1.95,8.5,14.95,1,0
163525,96872,0,179,2019-11-28,2019-11-30,6,50387,1,13.0,15,13.0,1.95,8.5,14.95,1,0
164623,38468,0,177,2019-12-02,2019-12-03,15,50734,1,13.0,15,13.0,1.95,8.5,14.95,1,0
164627,90329,0,177,2019-12-02,2019-12-03,15,50735,1,13.0,15,13.0,1.95,8.5,14.95,1,0
166731,92521,0,167,2019-12-13,2019-12-14,7,51385,1,13.0,15,13.0,1.95,8.5,14.95,1,0
166857,92521,0,191,2019-12-13,2019-12-14,7,51422,1,13.0,15,13.0,1.95,8.5,14.95,1,0
166987,99970,0,170,2019-12-14,2019-12-15,14,51467,1,13.0,15,13.0,1.95,8.5,14.95,1,0
169795,103655,0,204,2019-12-26,2019-12-27,16,52336,1,13.0,15,13.0,1.95,8.5,14.95,1,0
170531,92226,0,190,2019-12-29,2020-01-01,16,52559,1,13.0,15,13.0,1.95,8.5,14.95,1,0
170905,85575,0,181,2020-01-01,2020-01-02,15,52677,1,13.0,15,13.0,1.95,8.5,14.95,1,0
172063,38468,0,179,2020-01-06,2020-01-07,15,53029,1,13.0,15,13.0,1.95,8.5,14.95,1,0
173159,63483,0,196,2020-01-13,2020-01-14,8,53373,1,13.0,15,13.0,1.95,8.5,14.95,1,0
173838,61901,0,197,2020-01-17,2020-01-18,8,53582,1,13.0,15,13.0,1.95,8.5,14.95,1,0
174298,38704,0,173,2020-01-19,2020-01-20,13,53724,1,13.0,15,13.0,1.95,8.5,14.95,1,0
174897,61710,0,168,2020-01-23,2020-01-24,8,53911,1,13.0,15,13.0,1.95,8.5,14.95,1,0
200326,77975,0,176,2020-05-29,2020-05-30,13,61795,1,13.0,15,13.0,1.95,8.5,14.95,1,0
200627,104573,0,181,2020-05-30,2020-06-01,8,61889,1,13.0,15,13.0,1.95,8.5,14.95,1,0
201253,44806,0,200,2020-06-03,2020-06-04,13,62078,1,13.0,15,13.0,1.95,8.5,14.95,1,0
202155,90622,0,166,2020-06-07,2020-06-08,6,62357,1,13.0,15,13.0,1.95,8.5,14.95,1,0
202555,54596,0,198,2020-06-10,2020-06-11,16,62487,1,13.0,15,13.0,1.95,8.5,14.95,1,0
205388,81188,0,185,2020-06-26,2020-06-27,15,63371,1,13.0,15,13.0,1.95,8.5,14.95,1,0
207396,112081,0,191,2020-07-09,2020-07-10,3,64019,1,13.0,15,13.0,1.95,8.5,14.95,1,0
210354,77852,0,181,2020-07-24,2020-07-25,13,64957,1,13.0,15,13.0,1.95,8.5,14.95,1,0
212051,101362,0,199,2020-08-02,2020-08-03,8,65493,1,13.0,15,13.0,1.95,8.5,14.95,1,0
212431,95224,0,199,2020-08-06,2020-08-07,14,65610,1,13.0,15,13.0,1.95,8.5,14.95,1,0
213591,114847,0,175,2020-08-12,2020-08-13,8,65969,1,13.0,15,13.0,1.95,8.5,14.95,1,0
213379,81839,0,174,2020-08-12,2020-08-13,14,65909,1,13.0,15,13.0,1.95,8.5,14.95,1,0
214063,104145,0,184,2020-08-14,2020-08-15,8,66112,1,13.0,15,13.0,1.95,8.5,14.95,1,0
215925,55567,0,182,2020-08-22,2020-08-23,16,66686,1,13.0,15,13.0,1.95,8.5,14.95,1,0
215927,94175,0,166,2020-08-22,2020-08-23,8,66687,1,13.0,15,13.0,1.95,8.5,14.95,1,0
218299,98700,0,167,2020-09-04,2020-09-05,8,67437,1,13.0,15,13.0,1.95,8.5,14.95,1,0
219952,55733,0,166,2020-09-12,2020-09-13,16,67956,1,13.0,15,13.0,1.95,8.5,14.95,1,0
220056,108466,0,169,2020-09-12,2020-09-13,14,67990,1,13.0,15,13.0,1.95,8.5,14.95,1,0
220241,84888,0,169,2020-09-13,2020-09-14,13,68049,1,13.0,15,13.0,1.95,8.5,14.95,1,0
222288,109282,0,199,2020-09-25,2020-09-26,15,68680,1,13.0,15,13.0,1.95,8.5,14.95,1,0
223573,79969,0,167,2020-10-01,2020-10-06,8,69072,1,13.0,15,13.0,1.95,8.5,14.95,1,0
223966,107607,0,193,2020-10-03,2020-10-04,3,69194,1,13.0,15,13.0,1.95,8.5,14.95,1,0
225240,81567,0,190,2020-10-09,2020-10-10,16,69580,1,13.0,15,13.0,1.95,8.5,14.95,1,0
227125,85782,0,188,2020-10-18,2020-10-19,13,70158,1,13.0,15,13.0,1.95,8.5,14.95,1,0
176553,54379,0,185,2020-01-31,2020-02-06,8,54440,1,13.0,15,13.0,1.95,8.5,14.95,1,0
176639,107255,0,166,2020-01-31,2020-02-03,8,54468,1,13.0,15,13.0,1.95,8.5,14.95,1,0
179038,64758,0,168,2020-02-12,2020-02-13,8,55212,1,13.0,15,13.0,1.95,8.5,14.95,1,0
179657,109282,0,194,2020-02-14,2020-02-15,15,55401,1,13.0,15,13.0,1.95,8.5,14.95,1,0
179677,84656,0,178,2020-02-14,2020-02-15,13,55406,1,13.0,15,13.0,1.95,8.5,14.95,1,0
180177,104509,0,180,2020-02-17,2020-02-18,8,55562,1,13.0,15,13.0,1.95,8.5,14.95,1,0
180182,100612,0,173,2020-02-17,2020-02-18,6,55564,1,13.0,15,13.0,1.95,8.5,14.95,1,0
182849,99970,0,203,2020-03-02,2020-03-05,14,56382,1,13.0,15,13.0,1.95,8.5,14.95,1,0
183543,90948,0,195,2020-03-07,2020-03-08,15,56596,1,13.0,15,13.0,1.95,8.5,14.95,1,0
183545,99026,0,173,2020-03-07,2020-03-08,16,56597,1,13.0,15,13.0,1.95,8.5,14.95,1,0
183846,99357,0,194,2020-03-08,2020-03-09,6,56686,1,13.0,15,13.0,1.95,8.5,14.95,1,0
184083,110256,0,176,2020-03-09,2020-03-10,8,56757,1,13.0,15,13.0,1.95,8.5,14.95,1,0
186689,78006,0,170,2020-03-22,2020-03-23,15,57563,1,13.0,15,13.0,1.95,8.5,14.95,1,0
186690,78006,0,200,2020-03-22,2020-03-23,15,57563,1,13.0,15,13.0,1.95,8.5,14.95,1,0
189814,108881,0,182,2020-04-04,2020-04-05,3,58532,1,13.0,15,13.0,1.95,8.5,14.95,1,0
191366,52592,0,167,2020-04-14,2020-04-15,16,59010,1,13.0,15,13.0,1.95,8.5,14.95,1,0
191929,106222,0,198,2020-04-15,2020-04-16,6,59173,1,13.0,15,13.0,1.95,8.5,14.95,1,0
193610,38583,0,173,2020-04-25,2020-04-26,13,59708,1,13.0,15,13.0,1.95,8.5,14.95,1,0
193965,95033,0,198,2020-04-27,2020-04-28,14,59813,1,13.0,15,13.0,1.95,8.5,14.95,1,0
195922,61901,0,191,2020-05-08,2020-05-09,8,60423,1,13.0,15,13.0,1.95,8.5,14.95,1,0
197103,101245,0,189,2020-05-15,2020-05-16,8,60789,1,13.0,15,13.0,1.95,8.5,14.95,1,0
198364,112646,0,200,2020-05-22,2020-05-23,15,61184,1,13.0,15,13.0,1.95,8.5,14.95,1,0
129785,82266,0,176,2019-06-10,2019-06-11,13,39980,1,13.0,15,13.0,1.95,8.5,14.95,1,0
130064,99051,0,167,2019-06-11,2019-06-12,16,40062,1,13.0,15,13.0,1.95,8.5,14.95,1,0
130209,75393,0,192,2019-06-11,2019-06-12,8,40107,1,13.0,15,13.0,1.95,8.5,14.95,1,0
130334,47757,0,181,2019-06-12,2019-06-13,3,40145,1,13.0,15,13.0,1.95,8.5,14.95,1,0
131858,99066,0,174,2019-06-19,2019-06-20,16,40608,1,13.0,15,13.0,1.95,8.5,14.95,1,0
132857,98140,0,202,2019-06-25,2019-06-27,13,40914,1,13.0,15,13.0,1.95,8.5,14.95,1,0
133169,94644,0,199,2019-06-26,2019-06-27,7,41013,1,13.0,15,13.0,1.95,8.5,14.95,1,0
134544,94300,0,199,2019-07-04,2019-07-05,8,41444,1,13.0,15,13.0,1.95,8.5,14.95,1,0
136292,95791,0,178,2019-07-13,2019-07-14,8,41970,1,13.0,15,13.0,1.95,8.5,14.95,1,0
139558,86258,0,193,2019-08-01,2019-08-02,16,42982,1,13.0,15,13.0,1.95,8.5,14.95,1,0
140354,48763,0,183,2019-08-04,2019-08-05,3,43232,1,13.0,15,13.0,1.95,8.5,14.95,1,0
141926,101999,0,202,2019-08-14,2019-08-15,7,43719,1,13.0,15,13.0,1.95,8.5,14.95,1,0
142084,106222,0,166,2019-08-14,2019-08-15,6,43766,1,13.0,15,13.0,1.95,8.5,14.95,1,0
142422,104509,0,191,2019-08-15,2019-08-16,8,43864,1,13.0,15,13.0,1.95,8.5,14.95,1,0
142309,47470,0,198,2019-08-15,2019-08-16,7,43829,1,13.0,15,13.0,1.95,8.5,14.95,1,0
144214,47499,0,190,2019-08-24,2019-08-25,7,44416,1,13.0,15,13.0,1.95,8.5,14.95,1,0
145888,105671,0,187,2019-09-01,2019-09-02,8,44937,1,13.0,15,13.0,1.95,8.5,14.95,1,0
146399,81483,0,197,2019-09-04,2019-09-05,16,45096,1,13.0,15,13.0,1.95,8.5,14.95,1,0
148045,88240,0,198,2019-09-12,2019-09-13,13,45600,1,13.0,15,13.0,1.95,8.5,14.95,1,0
148882,69332,0,199,2019-09-14,2019-09-15,6,45852,1,13.0,15,13.0,1.95,8.5,14.95,1,0
149027,103655,0,164,2019-09-15,2019-09-16,16,45902,1,13.0,15,13.0,1.95,8.5,14.95,1,0
150525,104573,0,195,2019-09-23,2019-09-24,8,46363,1,13.0,15,13.0,1.95,8.5,14.95,1,0
153343,87481,0,189,2019-10-08,2019-10-09,3,47241,1,13.0,15,13.0,1.95,8.5,14.95,1,0
154698,105458,0,194,2019-10-14,2019-10-15,16,47668,1,13.0,15,13.0,1.95,8.5,14.95,1,0
154835,52627,0,198,2019-10-15,2019-10-16,16,47706,1,13.0,15,13.0,1.95,8.5,14.95,1,0
156506,96703,0,167,2019-10-23,2019-10-24,6,48218,1,13.0,15,13.0,1.95,8.5,14.95,1,0
156675,64685,0,200,2019-10-23,2019-10-24,8,48268,1,13.0,15,13.0,1.95,8.5,14.95,1,0
157091,71060,0,173,2019-10-25,2019-10-26,6,48396,1,13.0,15,13.0,1.95,8.5,14.95,1,0
157081,82266,0,182,2019-10-25,2019-10-26,13,48391,1,13.0,15,13.0,1.95,8.5,14.95,1,0
157812,104953,0,187,2019-10-28,2019-11-01,6,48617,1,13.0,15,13.0,1.95,8.5,14.95,1,0
159583,52639,0,195,2019-11-06,2019-11-07,16,49155,1,13.0,15,13.0,1.95,8.5,14.95,1,0
159584,52639,0,199,2019-11-06,2019-11-07,16,49155,1,13.0,15,13.0,1.95,8.5,14.95,1,0
160602,69283,0,168,2019-11-11,2019-11-12,6,49475,1,13.0,15,13.0,1.95,8.5,14.95,1,0
161239,77975,0,192,2019-11-16,2019-11-17,13,49691,1,13.0,15,13.0,1.95,8.5,14.95,1,0
161440,64685,0,183,2019-11-16,2019-11-17,8,49749,1,13.0,15,13.0,1.95,8.5,14.95,1,0
167722,101999,0,190,2019-12-16,2019-12-17,7,51700,1,13.0,15,13.0,1.95,8.5,14.95,1,0
167725,101999,0,169,2019-12-16,2019-12-17,7,51700,1,13.0,15,13.0,1.95,8.5,14.95,1,0
168117,100840,0,177,2019-12-19,2019-12-20,6,51825,1,13.0,15,13.0,1.95,8.5,14.95,1,0
168103,85782,0,191,2019-12-19,2019-12-20,13,51821,1,13.0,15,13.0,1.95,8.5,14.95,1,0
169432,84888,0,194,2019-12-23,2019-12-24,13,52223,1,13.0,15,13.0,1.95,8.5,14.95,1,0
170885,102959,0,204,2020-01-01,2020-01-02,8,52672,1,13.0,15,13.0,1.95,8.5,14.95,1,0
170965,45064,0,188,2020-01-02,2020-01-03,15,52698,1,13.0,15,13.0,1.95,8.5,14.95,1,0
171203,80875,0,196,2020-01-02,2020-01-03,13,52766,1,13.0,15,13.0,1.95,8.5,14.95,1,0
172104,62420,0,173,2020-01-08,2020-01-09,8,53046,1,13.0,15,13.0,1.95,8.5,14.95,1,0
172154,38583,0,203,2020-01-08,2020-01-09,13,53059,1,13.0,15,13.0,1.95,8.5,14.95,1,0
173919,112167,0,177,2020-01-18,2020-01-19,3,53611,1,13.0,15,13.0,1.95,8.5,14.95,1,0
174001,94175,0,202,2020-01-18,2020-01-19,8,53634,1,13.0,15,13.0,1.95,8.5,14.95,1,0
