Stock Item Key,Stock Item,Color,Selling Package,Buying Package,Brand,Size,Is Chiller Stock,Unit Price
248,USB food flash drive - sushi roll,,Each,Each,,,False,32.0
360,Animal with big feet slippers (Brown) XL,,Each,Each,,XL,False,32.0
361,Animal with big feet slippers (Brown) L,,Each,Each,,L,False,32.0
362,Animal with big feet slippers (Brown) M,,Each,Each,,M,False,32.0
363,Animal with big feet slippers (Brown) S,,Each,Each,,S,False,32.0
372,Ogre battery-powered slippers (Green) XL,,Each,Each,,XL,False,32.0
373,Ogre battery-powered slippers (Green) L,,Each,Each,,L,False,32.0
374,Ogre battery-powered slippers (Green) M,,Each,Each,,M,False,32.0
375,Ogre battery-powered slippers (Green) S,,Each,Each,,S,False,32.0
376,Dinosaur battery-powered slippers (Green) XL,,Each,Each,,XL,False,32.0
377,Dinosaur battery-powered slippers (Green) L,,Each,Each,,L,False,32.0
378,Dinosaur battery-powered slippers (Green) M,,Each,Each,,M,False,32.0
379,Dinosaur battery-powered slippers (Green) S,,Each,Each,,S,False,32.0
497,Animal with big feet slippers (Brown) XL,,Each,Each,,XL,False,32.0
498,Animal with big feet slippers (Brown) L,,Each,Each,,L,False,32.0
499,Animal with big feet slippers (Brown) M,,Each,Each,,M,False,32.0
500,Animal with big feet slippers (Brown) S,,Each,Each,,S,False,32.0
509,Ogre battery-powered slippers (Green) XL,,Each,Each,,XL,False,32.0
510,Ogre battery-powered slippers (Green) L,,Each,Each,,L,False,32.0
511,Ogre battery-powered slippers (Green) M,,Each,Each,,M,False,32.0
512,Ogre battery-powered slippers (Green) S,,Each,Each,,S,False,32.0
513,Dinosaur battery-powered slippers (Green) XL,,Each,Each,,XL,False,32.0
514,Dinosaur battery-powered slippers (Green) L,,Each,Each,,L,False,32.0
515,Dinosaur battery-powered slippers (Green) M,,Each,Each,,M,False,32.0
516,Dinosaur battery-powered slippers (Green) S,,Each,Each,,S,False,32.0
517,Dinosaur battery-powered slippers (Green) S,,Each,Each,,S,False,32.0
518,Dinosaur battery-powered slippers (Green) M,,Each,Each,,M,False,32.0
519,Dinosaur battery-powered slippers (Green) L,,Each,Each,,L,False,32.0
520,Dinosaur battery-powered slippers (Green) XL,,Each,Each,,XL,False,32.0
521,Ogre battery-powered slippers (Green) S,,Each,Each,,S,False,32.0
522,Ogre battery-powered slippers (Green) M,,Each,Each,,M,False,32.0
523,Ogre battery-powered slippers (Green) L,,Each,Each,,L,False,32.0
524,Ogre battery-powered slippers (Green) XL,,Each,Each,,XL,False,32.0
533,Animal with big feet slippers (Brown) S,,Each,Each,,S,False,32.0
534,Animal with big feet slippers (Brown) M,,Each,Each,,M,False,32.0
535,Animal with big feet slippers (Brown) L,,Each,Each,,L,False,32.0
536,Animal with big feet slippers (Brown) XL,,Each,Each,,XL,False,32.0
538,USB food flash drive - fortune cookie,,Each,Each,,,False,32.0
539,USB food flash drive - shrimp cocktail,,Each,Each,,,False,32.0
540,USB food flash drive - donut,,Each,Each,,,False,32.0
541,USB food flash drive - cookie,,Each,Each,,,False,32.0
542,USB food flash drive - chocolate bar,,Each,Each,,,False,32.0
543,USB food flash drive - banana,,Each,Each,,,False,32.0
545,USB food flash drive - pizza slice,,Each,Each,,,False,32.0
546,USB food flash drive - hot dog,,Each,Each,,,False,32.0
547,USB food flash drive - hamburger,,Each,Each,,,False,32.0
548,USB food flash drive - sushi roll,,Each,Each,,,False,32.0
591,USB food flash drive - sushi roll,,Each,Each,,,False,32.0
592,USB food flash drive - hamburger,,Each,Each,,,False,32.0
593,USB food flash drive - hot dog,,Each,Each,,,False,32.0
594,USB food flash drive - pizza slice,,Each,Each,,,False,32.0
596,USB food flash drive - banana,,Each,Each,,,False,32.0
597,USB food flash drive - chocolate bar,,Each,Each,,,False,32.0
598,USB food flash drive - cookie,,Each,Each,,,False,32.0
599,USB food flash drive - donut,,Each,Each,,,False,32.0
600,USB food flash drive - shrimp cocktail,,Each,Each,,,False,32.0
601,USB food flash drive - fortune cookie,,Each,Each,,,False,32.0
87,Furry gorilla with big eyes slippers (Black) XL,Black,Each,Each,,XL,False,32.0
88,Furry gorilla with big eyes slippers (Black) L,Black,Each,Each,,L,False,32.0
89,Furry gorilla with big eyes slippers (Black) M,Black,Each,Each,,M,False,32.0
90,Furry gorilla with big eyes slippers (Black) S,Black,Each,Each,,S,False,32.0
91,Plush shark slippers (Gray) XL,Gray,Each,Each,,XL,False,32.0
92,Plush shark slippers (Gray) L,Gray,Each,Each,,L,False,32.0
93,Plush shark slippers (Gray) M,Gray,Each,Each,,M,False,32.0
94,Plush shark slippers (Gray) S,Gray,Each,Each,,S,False,32.0
364,Furry gorilla with big eyes slippers (Black) XL,Black,Each,Each,,XL,False,32.0
365,Furry gorilla with big eyes slippers (Black) L,Black,Each,Each,,L,False,32.0
366,Furry gorilla with big eyes slippers (Black) M,Black,Each,Each,,M,False,32.0
367,Furry gorilla with big eyes slippers (Black) S,Black,Each,Each,,S,False,32.0
368,Plush shark slippers (Gray) XL,Steel Gray,Each,Each,,XL,False,32.0
369,Plush shark slippers (Gray) L,Steel Gray,Each,Each,,L,False,32.0
370,Plush shark slippers (Gray) M,Steel Gray,Each,Each,,M,False,32.0
371,Plush shark slippers (Gray) S,Steel Gray,Each,Each,,S,False,32.0
501,Furry gorilla with big eyes slippers (Black) XL,Black,Each,Each,,XL,False,32.0
502,Furry gorilla with big eyes slippers (Black) L,Black,Each,Each,,L,False,32.0
503,Furry gorilla with big eyes slippers (Black) M,Black,Each,Each,,M,False,32.0
504,Furry gorilla with big eyes slippers (Black) S,Black,Each,Each,,S,False,32.0
505,Plush shark slippers (Gray) XL,Steel Gray,Each,Each,,XL,False,32.0
506,Plush shark slippers (Gray) L,Steel Gray,Each,Each,,L,False,32.0
507,Plush shark slippers (Gray) M,Steel Gray,Each,Each,,M,False,32.0
508,Plush shark slippers (Gray) S,Steel Gray,Each,Each,,S,False,32.0
525,Plush shark slippers (Gray) S,Steel Gray,Each,Each,,S,False,32.0
526,Plush shark slippers (Gray) M,Steel Gray,Each,Each,,M,False,32.0
527,Plush shark slippers (Gray) L,Steel Gray,Each,Each,,L,False,32.0
528,Plush shark slippers (Gray) XL,Steel Gray,Each,Each,,XL,False,32.0
529,Furry gorilla with big eyes slippers (Black) S,Black,Each,Each,,S,False,32.0
530,Furry gorilla with big eyes slippers (Black) M,Black,Each,Each,,M,False,32.0
531,Furry gorilla with big eyes slippers (Black) L,Black,Each,Each,,L,False,32.0
532,Furry gorilla with big eyes slippers (Black) XL,Black,Each,Each,,XL,False,32.0
15,Tape dispenser (Blue),,Each,Each,,,False,32.0
16,Tape dispenser (Red),,Each,Each,,,False,32.0
17,Tape dispenser (Black),,Each,Each,,,False,32.0
49,32 mm Anti static bubble wrap (Blue) 10m,Blue,Each,Each,,10m,False,32.0
307,Tape dispenser (Blue),,Each,Each,,,False,32.0
308,Tape dispenser (Red),,Each,Each,,,False,32.0
309,Tape dispenser (Black),,Each,Each,,,False,32.0
341,32 mm Anti static bubble wrap (Blue) 10m,Blue,Each,Each,,10m,False,32.0
623,32 mm Anti static bubble wrap (Blue) 10m,Blue,Each,Each,,10m,False,32.0
655,Tape dispenser (Black),,Each,Each,,,False,32.0
656,Tape dispenser (Red),,Each,Each,,,False,32.0
657,Tape dispenser (Blue),,Each,Each,,,False,32.0
163,IT joke mug - hardware: part of the computer that can be kicked (Black),Black,Each,Each,,,False,13.0
164,IT joke mug - hardware: part of the computer that can be kicked (White),White,Each,Each,,,False,13.0
165,IT joke mug - that behavior is by design (Black),Black,Each,Each,,,False,13.0
166,IT joke mug - that behavior is by design (White),White,Each,Each,,,False,13.0
167,IT joke mug - keyboard not found … press F1 to continue (Black),Black,Each,Each,,,False,13.0
168,IT joke mug - keyboard not found … press F1 to continue (White),White,Each,Each,,,False,13.0
169,Developer joke mug - old C developers never die (Black),Black,Each,Each,,,False,13.0
170,Developer joke mug - old C developers never die (White),White,Each,Each,,,False,13.0
171,Developer joke mug - this code was generated by a tool (Black),Black,Each,Each,,,False,13.0
172,Developer joke mug - this code was generated by a tool (White),White,Each,Each,,,False,13.0
173,Developer joke mug - a foo walks into a bar (Black),Black,Each,Each,,,False,13.0
174,Developer joke mug - a foo walks into a bar (White),White,Each,Each,,,False,13.0
175,Developer joke mug - there are 10 types of people in the world (Black),Black,Each,Each,,,False,13.0
176,Developer joke mug - there are 10 types of people in the world (White),White,Each,Each,,,False,13.0
177,Developer joke mug - understanding recursion requires understanding recursion (Black),Black,Each,Each,,,False,13.0
178,Developer joke mug - understanding recursion requires understanding recursion (White),White,Each,Each,,,False,13.0
179,"Developer joke mug - (hip, hip, array) (Black)",Black,Each,Each,,,False,13.0
180,"Developer joke mug - (hip, hip, array) (White)",White,Each,Each,,,False,13.0
181,Developer joke mug - inheritance is the OO way to become wealthy (Black),Black,Each,Each,,,False,13.0
182,Developer joke mug - inheritance is the OO way to become wealthy (White),White,Each,Each,,,False,13.0
183,Developer joke mug - when your hammer is C++ (Black),Black,Each,Each,,,False,13.0
184,Developer joke mug - when your hammer is C++ (White),White,Each,Each,,,False,13.0
185,Developer joke mug - fun was unexpected at this time (Black),Black,Each,Each,,,False,13.0
186,Developer joke mug - fun was unexpected at this time (White),White,Each,Each,,,False,13.0
187,Developer joke mug - that's a hardware problem (Black),Black,Each,Each,,,False,13.0
188,Developer joke mug - that's a hardware problem (White),White,Each,Each,,,False,13.0
189,Developer joke mug - Oct 31 = Dec 25 (Black),Black,Each,Each,,,False,13.0
190,Developer joke mug - Oct 31 = Dec 25 (White),White,Each,Each,,,False,13.0
191,DBA joke mug - two types of DBAs (Black),Black,Each,Each,,,False,13.0
192,DBA joke mug - two types of DBAs (White),White,Each,Each,,,False,13.0
193,DBA joke mug - SELECT caffeine FROM mug (Black),Black,Each,Each,,,False,13.0
194,DBA joke mug - SELECT caffeine FROM mug (White),White,Each,Each,,,False,13.0
195,DBA joke mug - I will get you in order (Black),Black,Each,Each,,,False,13.0
196,DBA joke mug - I will get you in order (White),White,Each,Each,,,False,13.0
197,DBA joke mug - it depends (Black),Black,Each,Each,,,False,13.0
198,DBA joke mug - it depends (White),White,Each,Each,,,False,13.0
199,DBA joke mug - you might be a DBA if (Black),Black,Each,Each,,,False,13.0
200,DBA joke mug - you might be a DBA if (White),White,Each,Each,,,False,13.0
201,DBA joke mug - daaaaaa-ta (Black),Black,Each,Each,,,False,13.0
202,DBA joke mug - daaaaaa-ta (White),White,Each,Each,,,False,13.0
203,DBA joke mug - mind if I join you? (Black),Black,Each,Each,,,False,13.0
204,DBA joke mug - mind if I join you? (White),White,Each,Each,,,False,13.0
249,IT joke mug - hardware: part of the computer that can be kicked (Black),Black,Each,Each,,,False,13.0
250,IT joke mug - hardware: part of the computer that can be kicked (White),White,Each,Each,,,False,13.0
251,IT joke mug - that behavior is by design (Black),Black,Each,Each,,,False,13.0
252,IT joke mug - that behavior is by design (White),White,Each,Each,,,False,13.0
253,IT joke mug - keyboard not found … press F1 to continue (Black),Black,Each,Each,,,False,13.0
254,IT joke mug - keyboard not found … press F1 to continue (White),White,Each,Each,,,False,13.0
255,Developer joke mug - old C developers never die (Black),Black,Each,Each,,,False,13.0
256,Developer joke mug - old C developers never die (White),White,Each,Each,,,False,13.0
257,Developer joke mug - this code was generated by a tool (Black),Black,Each,Each,,,False,13.0
258,Developer joke mug - this code was generated by a tool (White),White,Each,Each,,,False,13.0
259,Developer joke mug - a foo walks into a bar (Black),Black,Each,Each,,,False,13.0
260,Developer joke mug - a foo walks into a bar (White),White,Each,Each,,,False,13.0
261,Developer joke mug - there are 10 types of people in the world (Black),Black,Each,Each,,,False,13.0
262,Developer joke mug - there are 10 types of people in the world (White),White,Each,Each,,,False,13.0
263,Developer joke mug - understanding recursion requires understanding recursion (Black),Black,Each,Each,,,False,13.0
264,Developer joke mug - understanding recursion requires understanding recursion (White),White,Each,Each,,,False,13.0
265,"Developer joke mug - (hip, hip, array) (Black)",Black,Each,Each,,,False,13.0
266,"Developer joke mug - (hip, hip, array) (White)",White,Each,Each,,,False,13.0
267,Developer joke mug - inheritance is the OO way to become wealthy (Black),Black,Each,Each,,,False,13.0
268,Developer joke mug - inheritance is the OO way to become wealthy (White),White,Each,Each,,,False,13.0
269,Developer joke mug - when your hammer is C++ (Black),Black,Each,Each,,,False,13.0
270,Developer joke mug - when your hammer is C++ (White),White,Each,Each,,,False,13.0
271,Developer joke mug - fun was unexpected at this time (Black),Black,Each,Each,,,False,13.0
272,Developer joke mug - fun was unexpected at this time (White),White,Each,Each,,,False,13.0
273,Developer joke mug - that's a hardware problem (Black),Black,Each,Each,,,False,13.0
274,Developer joke mug - that's a hardware problem (White),White,Each,Each,,,False,13.0
275,Developer joke mug - Oct 31 = Dec 25 (Black),Black,Each,Each,,,False,13.0
276,Developer joke mug - Oct 31 = Dec 25 (White),White,Each,Each,,,False,13.0
277,DBA joke mug - two types of DBAs (Black),Black,Each,Each,,,False,13.0
278,DBA joke mug - two types of DBAs (White),White,Each,Each,,,False,13.0
279,DBA joke mug - SELECT caffeine FROM mug (Black),Black,Each,Each,,,False,13.0
280,DBA joke mug - SELECT caffeine FROM mug (White),White,Each,Each,,,False,13.0
281,DBA joke mug - I will get you in order (Black),Black,Each,Each,,,False,13.0
282,DBA joke mug - I will get you in order (White),White,Each,Each,,,False,13.0
283,DBA joke mug - it depends (Black),Black,Each,Each,,,False,13.0
284,DBA joke mug - it depends (White),White,Each,Each,,,False,13.0
285,DBA joke mug - you might be a DBA if (Black),Black,Each,Each,,,False,13.0
286,DBA joke mug - you might be a DBA if (White),White,Each,Each,,,False,13.0
287,DBA joke mug - daaaaaa-ta (Black),Black,Each,Each,,,False,13.0
288,DBA joke mug - daaaaaa-ta (White),White,Each,Each,,,False,13.0
289,DBA joke mug - mind if I join you? (Black),Black,Each,Each,,,False,13.0
290,DBA joke mug - mind if I join you? (White),White,Each,Each,,,False,13.0
549,DBA joke mug - mind if I join you? (White),White,Each,Each,,,False,13.0
550,DBA joke mug - mind if I join you? (Black),Black,Each,Each,,,False,13.0
551,DBA joke mug - daaaaaa-ta (White),White,Each,Each,,,False,13.0
552,DBA joke mug - daaaaaa-ta (Black),Black,Each,Each,,,False,13.0
553,DBA joke mug - you might be a DBA if (White),White,Each,Each,,,False,13.0
554,DBA joke mug - you might be a DBA if (Black),Black,Each,Each,,,False,13.0
555,DBA joke mug - it depends (White),White,Each,Each,,,False,13.0
556,DBA joke mug - it depends (Black),Black,Each,Each,,,False,13.0
557,DBA joke mug - I will get you in order (White),White,Each,Each,,,False,13.0
558,DBA joke mug - I will get you in order (Black),Black,Each,Each,,,False,13.0
559,DBA joke mug - SELECT caffeine FROM mug (White),White,Each,Each,,,False,13.0
560,DBA joke mug - SELECT caffeine FROM mug (Black),Black,Each,Each,,,False,13.0
561,DBA joke mug - two types of DBAs (White),White,Each,Each,,,False,13.0
562,DBA joke mug - two types of DBAs (Black),Black,Each,Each,,,False,13.0
563,Developer joke mug - Oct 31 = Dec 25 (White),White,Each,Each,,,False,13.0
564,Developer joke mug - Oct 31 = Dec 25 (Black),Black,Each,Each,,,False,13.0
565,Developer joke mug - that's a hardware problem (White),White,Each,Each,,,False,13.0
566,Developer joke mug - that's a hardware problem (Black),Black,Each,Each,,,False,13.0
567,Developer joke mug - fun was unexpected at this time (White),White,Each,Each,,,False,13.0
568,Developer joke mug - fun was unexpected at this time (Black),Black,Each,Each,,,False,13.0
569,Developer joke mug - when your hammer is C++ (White),White,Each,Each,,,False,13.0
570,Developer joke mug - when your hammer is C++ (Black),Black,Each,Each,,,False,13.0
571,Developer joke mug - inheritance is the OO way to become wealthy (White),White,Each,Each,,,False,13.0
572,Developer joke mug - inheritance is the OO way to become wealthy (Black),Black,Each,Each,,,False,13.0
573,"Developer joke mug - (hip, hip, array) (White)",White,Each,Each,,,False,13.0
574,"Developer joke mug - (hip, hip, array) (Black)",Black,Each,Each,,,False,13.0
575,Developer joke mug - understanding recursion requires understanding recursion (White),White,Each,Each,,,False,13.0
576,Developer joke mug - understanding recursion requires understanding recursion (Black),Black,Each,Each,,,False,13.0
577,Developer joke mug - there are 10 types of people in the world (White),White,Each,Each,,,False,13.0
578,Developer joke mug - there are 10 types of people in the world (Black),Black,Each,Each,,,False,13.0
579,Developer joke mug - a foo walks into a bar (White),White,Each,Each,,,False,13.0
580,Developer joke mug - a foo walks into a bar (Black),Black,Each,Each,,,False,13.0
581,Developer joke mug - this code was generated by a tool (White),White,Each,Each,,,False,13.0
582,Developer joke mug - this code was generated by a tool (Black),Black,Each,Each,,,False,13.0
583,Developer joke mug - old C developers never die (White),White,Each,Each,,,False,13.0
584,Developer joke mug - old C developers never die (Black),Black,Each,Each,,,False,13.0
585,IT joke mug - keyboard not found … press F1 to continue (White),White,Each,Each,,,False,13.0
586,IT joke mug - keyboard not found … press F1 to continue (Black),Black,Each,Each,,,False,13.0
587,IT joke mug - that behavior is by design (White),White,Each,Each,,,False,13.0
588,IT joke mug - that behavior is by design (Black),Black,Each,Each,,,False,13.0
589,IT joke mug - hardware: part of the computer that can be kicked (White),White,Each,Each,,,False,13.0
590,IT joke mug - hardware: part of the computer that can be kicked (Black),Black,Each,Each,,,False,13.0
71,Halloween skull mask (Gray) XL,Gray,Each,Carton,,XL,False,18.0
72,Halloween skull mask (Gray) L,Gray,Each,Carton,,L,False,18.0
73,Halloween skull mask (Gray) M,Gray,Each,Carton,,M,False,18.0
74,Halloween skull mask (Gray) S,Gray,Each,Carton,,S,False,18.0
75,Halloween zombie mask (Light Brown) XL,Light Brown,Each,Carton,,XL,False,18.0
76,Halloween zombie mask (Light Brown) L,Light Brown,Each,Carton,,L,False,18.0
77,Halloween zombie mask (Light Brown) M,Light Brown,Each,Carton,,M,False,18.0
78,Halloween zombie mask (Light Brown) S,Light Brown,Each,Carton,,S,False,18.0
119,"""The Gu"" red shirt XML tag t-shirt (Black) 7XL",Black,Each,Carton,,7XL,False,18.0
120,"""The Gu"" red shirt XML tag t-shirt (Black) 6XL",Black,Each,Carton,,6XL,False,18.0
121,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",Black,Each,Carton,,5XL,False,18.0
122,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",Black,Each,Carton,,4XL,False,18.0
123,"""The Gu"" red shirt XML tag t-shirt (Black) 3XL",Black,Each,Carton,,3XL,False,18.0
124,"""The Gu"" red shirt XML tag t-shirt (Black) XXL",Black,Each,Carton,,XXL,False,18.0
125,"""The Gu"" red shirt XML tag t-shirt (Black) XL",Black,Each,Carton,,XL,False,18.0
126,"""The Gu"" red shirt XML tag t-shirt (Black) L",Black,Each,Carton,,L,False,18.0
127,"""The Gu"" red shirt XML tag t-shirt (Black) M",Black,Each,Carton,,M,False,18.0
128,"""The Gu"" red shirt XML tag t-shirt (Black) S",Black,Each,Carton,,S,False,18.0
129,"""The Gu"" red shirt XML tag t-shirt (Black) XS",Black,Each,Carton,,XS,False,18.0
130,"""The Gu"" red shirt XML tag t-shirt (Black) XXS",Black,Each,Carton,,XXS,False,18.0
131,"""The Gu"" red shirt XML tag t-shirt (Black) 3XS",Black,Each,Carton,,3XS,False,18.0
132,"""The Gu"" red shirt XML tag t-shirt (White) 7XL",White,Each,Carton,,7XL,False,18.0
133,"""The Gu"" red shirt XML tag t-shirt (White) 6XL",White,Each,Carton,,6XL,False,18.0
134,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",White,Each,Carton,,5XL,False,18.0
135,"""The Gu"" red shirt XML tag t-shirt (White) 4XL",White,Each,Carton,,4XL,False,18.0
136,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",White,Each,Carton,,3XL,False,18.0
137,"""The Gu"" red shirt XML tag t-shirt (White) XXL",White,Each,Carton,,XXL,False,18.0
138,"""The Gu"" red shirt XML tag t-shirt (White) XL",White,Each,Carton,,XL,False,18.0
139,"""The Gu"" red shirt XML tag t-shirt (White) L",White,Each,Carton,,L,False,18.0
140,"""The Gu"" red shirt XML tag t-shirt (White) M",White,Each,Carton,,M,False,18.0
141,"""The Gu"" red shirt XML tag t-shirt (White) S",White,Each,Carton,,S,False,18.0
142,"""The Gu"" red shirt XML tag t-shirt (White) XS",White,Each,Carton,,XS,False,18.0
143,"""The Gu"" red shirt XML tag t-shirt (White) XXS",White,Each,Carton,,XXS,False,18.0
144,"""The Gu"" red shirt XML tag t-shirt (White) 3XS",White,Each,Carton,,3XS,False,18.0
380,Halloween skull mask (Gray) XL,Steel Gray,Each,Carton,,XL,False,18.0
381,Halloween skull mask (Gray) L,Steel Gray,Each,Carton,,L,False,18.0
382,Halloween skull mask (Gray) M,Steel Gray,Each,Carton,,M,False,18.0
383,Halloween skull mask (Gray) S,Steel Gray,Each,Carton,,S,False,18.0
384,Halloween zombie mask (Light Brown) XL,Light Brown,Each,Carton,,XL,False,18.0
385,Halloween zombie mask (Light Brown) L,Light Brown,Each,Carton,,L,False,18.0
386,Halloween zombie mask (Light Brown) M,Light Brown,Each,Carton,,M,False,18.0
387,Halloween zombie mask (Light Brown) S,Light Brown,Each,Carton,,S,False,18.0
399,"""The Gu"" red shirt XML tag t-shirt (White) 3XS",White,Each,Carton,,3XS,False,18.0
400,"""The Gu"" red shirt XML tag t-shirt (White) XXS",White,Each,Carton,,XXS,False,18.0
401,"""The Gu"" red shirt XML tag t-shirt (White) XS",White,Each,Carton,,XS,False,18.0
402,"""The Gu"" red shirt XML tag t-shirt (White) S",White,Each,Carton,,S,False,18.0
403,"""The Gu"" red shirt XML tag t-shirt (White) M",White,Each,Carton,,M,False,18.0
404,"""The Gu"" red shirt XML tag t-shirt (White) L",White,Each,Carton,,L,False,18.0
405,"""The Gu"" red shirt XML tag t-shirt (White) XL",White,Each,Carton,,XL,False,18.0
406,"""The Gu"" red shirt XML tag t-shirt (White) XXL",White,Each,Carton,,XXL,False,18.0
407,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",White,Each,Carton,,3XL,False,18.0
408,"""The Gu"" red shirt XML tag t-shirt (White) 4XL",White,Each,Carton,,4XL,False,18.0
409,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",White,Each,Carton,,5XL,False,18.0
410,"""The Gu"" red shirt XML tag t-shirt (White) 6XL",White,Each,Carton,,6XL,False,18.0
411,"""The Gu"" red shirt XML tag t-shirt (White) 7XL",White,Each,Carton,,7XL,False,18.0
412,"""The Gu"" red shirt XML tag t-shirt (Black) 3XS",Black,Each,Carton,,3XS,False,18.0
413,"""The Gu"" red shirt XML tag t-shirt (Black) XXS",Black,Each,Carton,,XXS,False,18.0
414,"""The Gu"" red shirt XML tag t-shirt (Black) XS",Black,Each,Carton,,XS,False,18.0
415,"""The Gu"" red shirt XML tag t-shirt (Black) S",Black,Each,Carton,,S,False,18.0
416,"""The Gu"" red shirt XML tag t-shirt (Black) M",Black,Each,Carton,,M,False,18.0
417,"""The Gu"" red shirt XML tag t-shirt (Black) L",Black,Each,Carton,,L,False,18.0
418,"""The Gu"" red shirt XML tag t-shirt (Black) XL",Black,Each,Carton,,XL,False,18.0
419,"""The Gu"" red shirt XML tag t-shirt (Black) XXL",Black,Each,Carton,,XXL,False,18.0
420,"""The Gu"" red shirt XML tag t-shirt (Black) 3XL",Black,Each,Carton,,3XL,False,18.0
421,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",Black,Each,Carton,,4XL,False,18.0
422,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",Black,Each,Carton,,5XL,False,18.0
423,"""The Gu"" red shirt XML tag t-shirt (Black) 6XL",Black,Each,Carton,,6XL,False,18.0
424,"""The Gu"" red shirt XML tag t-shirt (Black) 7XL",Black,Each,Carton,,7XL,False,18.0
477,Halloween zombie mask (Light Brown) S,Light Brown,Each,Carton,,S,False,18.0
478,Halloween zombie mask (Light Brown) M,Light Brown,Each,Carton,,M,False,18.0
479,Halloween zombie mask (Light Brown) L,Light Brown,Each,Carton,,L,False,18.0
480,Halloween zombie mask (Light Brown) XL,Light Brown,Each,Carton,,XL,False,18.0
481,Halloween skull mask (Gray) S,Steel Gray,Each,Carton,,S,False,18.0
482,Halloween skull mask (Gray) M,Steel Gray,Each,Carton,,M,False,18.0
483,Halloween skull mask (Gray) L,Steel Gray,Each,Carton,,L,False,18.0
484,Halloween skull mask (Gray) XL,Steel Gray,Each,Carton,,XL,False,18.0
61,20 mm Double sided bubble wrap 10m,,Each,Each,,10m,False,18.0
353,20 mm Double sided bubble wrap 10m,,Each,Each,,10m,False,18.0
611,20 mm Double sided bubble wrap 10m,,Each,Each,,10m,False,18.0
0,Unknown,,,,,,False,0.0
68,Pack of 12 action figures (female),,Packet,Packet,,,False,16.0
69,Pack of 12 action figures (male),,Packet,Packet,,,False,16.0
70,Pack of 12 action figures (variety),,Packet,Packet,,,False,16.0
79,Furry animal socks (Pink) XL,,Pair,Packet,,XL,False,5.0
80,Furry animal socks (Pink) L,,Pair,Packet,,L,False,5.0
81,Furry animal socks (Pink) M,,Pair,Packet,,M,False,5.0
82,Furry animal socks (Pink) S,,Pair,Packet,,S,False,5.0
205,USB food flash drive - dessert 10 drive variety pack,,Packet,Packet,,,False,240.0
212,USB food flash drive - dim sum 10 drive variety pack,,Packet,Packet,,,False,240.0
237,USB food flash drive - dessert 10 drive variety pack,,Packet,Packet,,,False,240.0
244,USB food flash drive - dim sum 10 drive variety pack,,Packet,Packet,,,False,240.0
388,Pack of 12 action figures (female),,Packet,Packet,,,False,16.0
389,Pack of 12 action figures (male),,Packet,Packet,,,False,16.0
390,Pack of 12 action figures (variety),,Packet,Packet,,,False,16.0
