Date,Month,Month Number,Quarter,Year,ISO Week Number
2016-03-07,March,3,Q1,2016,10
2016-03-08,March,3,Q1,2016,10
2016-03-09,March,3,Q1,2016,10
2016-03-10,March,3,Q1,2016,10
2016-03-11,March,3,Q1,2016,10
2016-03-12,March,3,Q1,2016,10
2016-03-13,March,3,Q1,2016,10
2016-03-14,March,3,Q1,2016,11
2016-03-15,March,3,Q1,2016,11
2016-03-16,March,3,Q1,2016,11
2016-03-17,March,3,Q1,2016,11
2016-03-18,March,3,Q1,2016,11
2016-03-19,March,3,Q1,2016,11
2016-03-20,March,3,Q1,2016,11
2016-03-21,March,3,Q1,2016,12
2016-03-22,March,3,Q1,2016,12
2016-03-23,March,3,Q1,2016,12
2016-03-24,March,3,Q1,2016,12
2016-03-25,March,3,Q1,2016,12
2016-03-26,March,3,Q1,2016,12
2016-03-27,March,3,Q1,2016,12
2016-03-28,March,3,Q1,2016,13
2016-03-29,March,3,Q1,2016,13
2016-03-30,March,3,Q1,2016,13
2016-03-31,March,3,Q1,2016,13
2016-04-01,April,4,Q2,2016,13
2016-04-02,April,4,Q2,2016,13
2016-04-03,April,4,Q2,2016,13
2016-04-04,April,4,Q2,2016,14
2016-04-05,April,4,Q2,2016,14
2016-04-06,April,4,Q2,2016,14
2016-04-07,April,4,Q2,2016,14
2016-04-08,April,4,Q2,2016,14
2016-04-09,April,4,Q2,2016,14
2016-04-10,April,4,Q2,2016,14
2016-04-11,April,4,Q2,2016,15
2016-04-12,April,4,Q2,2016,15
2016-04-13,April,4,Q2,2016,15
2016-04-14,April,4,Q2,2016,15
2016-04-15,April,4,Q2,2016,15
2016-04-16,April,4,Q2,2016,15
2016-04-17,April,4,Q2,2016,15
2016-04-18,April,4,Q2,2016,16
2016-04-19,April,4,Q2,2016,16
2016-04-20,April,4,Q2,2016,16
2016-04-21,April,4,Q2,2016,16
2016-04-22,April,4,Q2,2016,16
2016-04-23,April,4,Q2,2016,16
2016-04-24,April,4,Q2,2016,16
2016-04-25,April,4,Q2,2016,17
2016-04-26,April,4,Q2,2016,17
2016-04-27,April,4,Q2,2016,17
2016-04-28,April,4,Q2,2016,17
2016-04-29,April,4,Q2,2016,17
2016-04-30,April,4,Q2,2016,17
2016-05-01,May,5,Q2,2016,17
2016-05-02,May,5,Q2,2016,18
2016-05-03,May,5,Q2,2016,18
2016-05-04,May,5,Q2,2016,18
2016-05-05,May,5,Q2,2016,18
2016-05-06,May,5,Q2,2016,18
2016-05-07,May,5,Q2,2016,18
2016-05-08,May,5,Q2,2016,18
2016-05-09,May,5,Q2,2016,19
2016-05-10,May,5,Q2,2016,19
2016-05-11,May,5,Q2,2016,19
2016-05-12,May,5,Q2,2016,19
2016-05-13,May,5,Q2,2016,19
2016-05-14,May,5,Q2,2016,19
2016-05-15,May,5,Q2,2016,19
2016-05-16,May,5,Q2,2016,20
2016-05-17,May,5,Q2,2016,20
2016-05-18,May,5,Q2,2016,20
2016-05-19,May,5,Q2,2016,20
2016-05-20,May,5,Q2,2016,20
2016-05-21,May,5,Q2,2016,20
2016-05-22,May,5,Q2,2016,20
2016-05-23,May,5,Q2,2016,21
2016-05-24,May,5,Q2,2016,21
2016-05-25,May,5,Q2,2016,21
2016-05-26,May,5,Q2,2016,21
2016-05-27,May,5,Q2,2016,21
2016-05-28,May,5,Q2,2016,21
2016-05-29,May,5,Q2,2016,21
2016-05-30,May,5,Q2,2016,22
2016-05-31,May,5,Q2,2016,22
2016-06-01,June,6,Q2,2016,22
2016-06-02,June,6,Q2,2016,22
2016-06-03,June,6,Q2,2016,22
2016-06-04,June,6,Q2,2016,22
2016-06-05,June,6,Q2,2016,22
2016-06-06,June,6,Q2,2016,23
2016-06-07,June,6,Q2,2016,23
2016-06-08,June,6,Q2,2016,23
2016-06-09,June,6,Q2,2016,23
2016-06-10,June,6,Q2,2016,23
2016-06-11,June,6,Q2,2016,23
2016-06-12,June,6,Q2,2016,23
2016-06-13,June,6,Q2,2016,24
2016-06-14,June,6,Q2,2016,24
2016-06-15,June,6,Q2,2016,24
2016-06-16,June,6,Q2,2016,24
2016-06-17,June,6,Q2,2016,24
2016-06-18,June,6,Q2,2016,24
2016-06-19,June,6,Q2,2016,24
2016-06-20,June,6,Q2,2016,25
2016-06-21,June,6,Q2,2016,25
2016-06-22,June,6,Q2,2016,25
2016-06-23,June,6,Q2,2016,25
2016-06-24,June,6,Q2,2016,25
2016-06-25,June,6,Q2,2016,25
2016-06-26,June,6,Q2,2016,25
2016-06-27,June,6,Q2,2016,26
2016-06-28,June,6,Q2,2016,26
2016-06-29,June,6,Q2,2016,26
2016-06-30,June,6,Q2,2016,26
2016-07-01,July,7,Q3,2016,26
2016-07-02,July,7,Q3,2016,26
2016-07-03,July,7,Q3,2016,26
2016-07-04,July,7,Q3,2016,27
2016-07-05,July,7,Q3,2016,27
2016-07-06,July,7,Q3,2016,27
2016-07-07,July,7,Q3,2016,27
2016-07-08,July,7,Q3,2016,27
2016-07-09,July,7,Q3,2016,27
2016-07-10,July,7,Q3,2016,27
2016-07-11,July,7,Q3,2016,28
2016-07-12,July,7,Q3,2016,28
2016-07-13,July,7,Q3,2016,28
2016-07-14,July,7,Q3,2016,28
2016-07-15,July,7,Q3,2016,28
2016-07-16,July,7,Q3,2016,28
2016-07-17,July,7,Q3,2016,28
2016-07-18,July,7,Q3,2016,29
2016-07-19,July,7,Q3,2016,29
2016-07-20,July,7,Q3,2016,29
2016-07-21,July,7,Q3,2016,29
2016-07-22,July,7,Q3,2016,29
2016-07-23,July,7,Q3,2016,29
2016-07-24,July,7,Q3,2016,29
2016-07-25,July,7,Q3,2016,30
2016-07-26,July,7,Q3,2016,30
2016-07-27,July,7,Q3,2016,30
2016-07-28,July,7,Q3,2016,30
2016-07-29,July,7,Q3,2016,30
2016-07-30,July,7,Q3,2016,30
2016-07-31,July,7,Q3,2016,30
2016-08-01,August,8,Q3,2016,31
2016-08-02,August,8,Q3,2016,31
2016-08-03,August,8,Q3,2016,31
2016-08-04,August,8,Q3,2016,31
2016-08-05,August,8,Q3,2016,31
2016-08-06,August,8,Q3,2016,31
2016-08-07,August,8,Q3,2016,31
2016-08-08,August,8,Q3,2016,32
2016-08-09,August,8,Q3,2016,32
2016-08-10,August,8,Q3,2016,32
2016-08-11,August,8,Q3,2016,32
2016-08-12,August,8,Q3,2016,32
2016-08-13,August,8,Q3,2016,32
2016-08-14,August,8,Q3,2016,32
2016-08-15,August,8,Q3,2016,33
2016-08-16,August,8,Q3,2016,33
2016-08-17,August,8,Q3,2016,33
2016-08-18,August,8,Q3,2016,33
2016-08-19,August,8,Q3,2016,33
2016-08-20,August,8,Q3,2016,33
2016-08-21,August,8,Q3,2016,33
2016-08-22,August,8,Q3,2016,34
2016-08-23,August,8,Q3,2016,34
2016-08-24,August,8,Q3,2016,34
2016-08-25,August,8,Q3,2016,34
2016-08-26,August,8,Q3,2016,34
2016-08-27,August,8,Q3,2016,34
2016-08-28,August,8,Q3,2016,34
2016-08-29,August,8,Q3,2016,35
2016-08-30,August,8,Q3,2016,35
2016-08-31,August,8,Q3,2016,35
2016-09-01,September,9,Q3,2016,35
2016-09-02,September,9,Q3,2016,35
2016-09-03,September,9,Q3,2016,35
2016-09-04,September,9,Q3,2016,35
2016-09-05,September,9,Q3,2016,36
2016-09-06,September,9,Q3,2016,36
2016-09-07,September,9,Q3,2016,36
2016-09-08,September,9,Q3,2016,36
2016-09-09,September,9,Q3,2016,36
2016-09-10,September,9,Q3,2016,36
2016-09-11,September,9,Q3,2016,36
2016-09-12,September,9,Q3,2016,37
2016-09-13,September,9,Q3,2016,37
2016-09-14,September,9,Q3,2016,37
2016-09-15,September,9,Q3,2016,37
2016-09-16,September,9,Q3,2016,37
2016-09-17,September,9,Q3,2016,37
2016-09-18,September,9,Q3,2016,37
2016-09-19,September,9,Q3,2016,38
2016-09-20,September,9,Q3,2016,38
2016-09-21,September,9,Q3,2016,38
2016-09-22,September,9,Q3,2016,38
2016-09-23,September,9,Q3,2016,38
2016-09-24,September,9,Q3,2016,38
2016-09-25,September,9,Q3,2016,38
2016-09-26,September,9,Q3,2016,39
2016-09-27,September,9,Q3,2016,39
2016-09-28,September,9,Q3,2016,39
2016-09-29,September,9,Q3,2016,39
2016-09-30,September,9,Q3,2016,39
2016-10-01,October,10,Q4,2016,39
2016-10-02,October,10,Q4,2016,39
2016-10-03,October,10,Q4,2016,40
2016-10-04,October,10,Q4,2016,40
2016-10-05,October,10,Q4,2016,40
2016-10-06,October,10,Q4,2016,40
2016-10-07,October,10,Q4,2016,40
2016-10-08,October,10,Q4,2016,40
2016-10-09,October,10,Q4,2016,40
2016-10-10,October,10,Q4,2016,41
2016-10-11,October,10,Q4,2016,41
2016-10-12,October,10,Q4,2016,41
2016-10-13,October,10,Q4,2016,41
2016-10-14,October,10,Q4,2016,41
2016-10-15,October,10,Q4,2016,41
2016-10-16,October,10,Q4,2016,41
2016-10-17,October,10,Q4,2016,42
2016-10-18,October,10,Q4,2016,42
2016-10-19,October,10,Q4,2016,42
2016-10-20,October,10,Q4,2016,42
2016-10-21,October,10,Q4,2016,42
2016-10-22,October,10,Q4,2016,42
2016-10-23,October,10,Q4,2016,42
2016-10-24,October,10,Q4,2016,43
2016-10-25,October,10,Q4,2016,43
2016-10-26,October,10,Q4,2016,43
2016-10-27,October,10,Q4,2016,43
2016-10-28,October,10,Q4,2016,43
2016-10-29,October,10,Q4,2016,43
2016-10-30,October,10,Q4,2016,43
2016-10-31,October,10,Q4,2016,44
2016-11-01,November,11,Q4,2016,44
2016-11-02,November,11,Q4,2016,44
2016-11-03,November,11,Q4,2016,44
2016-11-04,November,11,Q4,2016,44
2016-11-05,November,11,Q4,2016,44
2016-11-06,November,11,Q4,2016,44
2016-11-07,November,11,Q4,2016,45
2016-11-08,November,11,Q4,2016,45
2016-11-09,November,11,Q4,2016,45
2016-11-10,November,11,Q4,2016,45
2016-11-11,November,11,Q4,2016,45
2016-11-12,November,11,Q4,2016,45
2016-11-13,November,11,Q4,2016,45
2016-11-14,November,11,Q4,2016,46
2016-11-15,November,11,Q4,2016,46
2016-11-16,November,11,Q4,2016,46
2016-11-17,November,11,Q4,2016,46
2016-11-18,November,11,Q4,2016,46
2016-11-19,November,11,Q4,2016,46
2016-11-20,November,11,Q4,2016,46
2016-11-21,November,11,Q4,2016,47
2016-11-22,November,11,Q4,2016,47
2016-11-23,November,11,Q4,2016,47
2016-11-24,November,11,Q4,2016,47
2016-11-25,November,11,Q4,2016,47
2016-11-26,November,11,Q4,2016,47
2016-11-27,November,11,Q4,2016,47
2016-11-28,November,11,Q4,2016,48
2016-11-29,November,11,Q4,2016,48
2016-11-30,November,11,Q4,2016,48
2016-12-01,December,12,Q4,2016,48
2016-12-02,December,12,Q4,2016,48
2016-12-03,December,12,Q4,2016,48
2016-12-04,December,12,Q4,2016,48
2016-12-05,December,12,Q4,2016,49
2016-12-06,December,12,Q4,2016,49
2016-12-07,December,12,Q4,2016,49
2016-12-08,December,12,Q4,2016,49
2016-12-09,December,12,Q4,2016,49
2016-12-10,December,12,Q4,2016,49
2016-12-11,December,12,Q4,2016,49
2016-12-12,December,12,Q4,2016,50
2016-12-13,December,12,Q4,2016,50
2016-12-14,December,12,Q4,2016,50
2016-12-15,December,12,Q4,2016,50
2016-12-16,December,12,Q4,2016,50
2016-12-17,December,12,Q4,2016,50
2016-12-18,December,12,Q4,2016,50
2016-12-19,December,12,Q4,2016,51
2016-12-20,December,12,Q4,2016,51
2016-12-21,December,12,Q4,2016,51
2016-12-22,December,12,Q4,2016,51
2016-12-23,December,12,Q4,2016,51
2016-12-24,December,12,Q4,2016,51
2016-12-25,December,12,Q4,2016,51
2016-12-26,December,12,Q4,2016,52
2016-12-27,December,12,Q4,2016,52
2016-12-28,December,12,Q4,2016,52
2016-12-29,December,12,Q4,2016,52
2016-12-30,December,12,Q4,2016,52
2016-12-31,December,12,Q4,2016,52
2017-01-01,January,1,Q1,2017,52
2017-01-02,January,1,Q1,2017,1
2017-01-03,January,1,Q1,2017,1
2017-01-04,January,1,Q1,2017,1
2017-01-05,January,1,Q1,2017,1
2017-01-06,January,1,Q1,2017,1
2017-01-07,January,1,Q1,2017,1
2017-01-08,January,1,Q1,2017,1
2017-01-09,January,1,Q1,2017,2
2017-01-10,January,1,Q1,2017,2
2017-01-11,January,1,Q1,2017,2
2017-01-12,January,1,Q1,2017,2
2017-01-13,January,1,Q1,2017,2
2017-01-14,January,1,Q1,2017,2
2017-01-15,January,1,Q1,2017,2
2017-01-16,January,1,Q1,2017,3
2017-01-17,January,1,Q1,2017,3
2017-01-18,January,1,Q1,2017,3
2017-01-19,January,1,Q1,2017,3
2017-01-20,January,1,Q1,2017,3
2017-01-21,January,1,Q1,2017,3
2017-01-22,January,1,Q1,2017,3
2017-01-23,January,1,Q1,2017,4
2017-01-24,January,1,Q1,2017,4
2017-01-25,January,1,Q1,2017,4
2017-01-26,January,1,Q1,2017,4
2017-01-27,January,1,Q1,2017,4
2017-01-28,January,1,Q1,2017,4
2017-01-29,January,1,Q1,2017,4
2017-01-30,January,1,Q1,2017,5
2017-01-31,January,1,Q1,2017,5
2017-02-01,February,2,Q1,2017,5
2017-02-02,February,2,Q1,2017,5
2017-02-03,February,2,Q1,2017,5
2017-02-04,February,2,Q1,2017,5
2017-02-05,February,2,Q1,2017,5
2017-02-06,February,2,Q1,2017,6
2017-02-07,February,2,Q1,2017,6
2017-02-08,February,2,Q1,2017,6
2017-02-09,February,2,Q1,2017,6
2017-02-10,February,2,Q1,2017,6
2017-02-11,February,2,Q1,2017,6
2017-02-12,February,2,Q1,2017,6
2017-02-13,February,2,Q1,2017,7
2017-02-14,February,2,Q1,2017,7
2017-02-15,February,2,Q1,2017,7
2017-02-16,February,2,Q1,2017,7
2017-02-17,February,2,Q1,2017,7
2017-02-18,February,2,Q1,2017,7
2017-02-19,February,2,Q1,2017,7
2017-02-20,February,2,Q1,2017,8
2017-02-21,February,2,Q1,2017,8
2017-02-22,February,2,Q1,2017,8
2017-02-23,February,2,Q1,2017,8
2017-02-24,February,2,Q1,2017,8
2017-02-25,February,2,Q1,2017,8
2017-02-26,February,2,Q1,2017,8
2017-02-27,February,2,Q1,2017,9
2017-02-28,February,2,Q1,2017,9
2017-03-01,March,3,Q1,2017,9
2017-03-02,March,3,Q1,2017,9
2017-03-03,March,3,Q1,2017,9
2017-03-04,March,3,Q1,2017,9
2017-03-05,March,3,Q1,2017,9
2017-03-06,March,3,Q1,2017,10
2017-03-07,March,3,Q1,2017,10
2017-03-08,March,3,Q1,2017,10
2017-03-09,March,3,Q1,2017,10
2017-03-10,March,3,Q1,2017,10
2017-03-11,March,3,Q1,2017,10
2017-03-12,March,3,Q1,2017,10
2017-03-13,March,3,Q1,2017,11
2017-03-14,March,3,Q1,2017,11
2017-03-15,March,3,Q1,2017,11
2017-03-16,March,3,Q1,2017,11
2017-03-17,March,3,Q1,2017,11
2017-03-18,March,3,Q1,2017,11
2017-03-19,March,3,Q1,2017,11
2017-03-20,March,3,Q1,2017,12
2017-03-21,March,3,Q1,2017,12
2017-03-22,March,3,Q1,2017,12
2017-03-23,March,3,Q1,2017,12
2017-03-24,March,3,Q1,2017,12
2017-03-25,March,3,Q1,2017,12
2017-03-26,March,3,Q1,2017,12
2017-03-27,March,3,Q1,2017,13
2017-03-28,March,3,Q1,2017,13
2017-03-29,March,3,Q1,2017,13
2017-03-30,March,3,Q1,2017,13
2017-03-31,March,3,Q1,2017,13
2017-04-01,April,4,Q2,2017,13
2017-04-02,April,4,Q2,2017,13
2017-04-03,April,4,Q2,2017,14
2017-04-04,April,4,Q2,2017,14
2017-04-05,April,4,Q2,2017,14
2017-04-06,April,4,Q2,2017,14
2017-04-07,April,4,Q2,2017,14
2017-04-08,April,4,Q2,2017,14
2017-04-09,April,4,Q2,2017,14
2017-04-10,April,4,Q2,2017,15
2017-04-11,April,4,Q2,2017,15
2017-04-12,April,4,Q2,2017,15
2017-04-13,April,4,Q2,2017,15
2017-04-14,April,4,Q2,2017,15
2017-04-15,April,4,Q2,2017,15
2017-04-16,April,4,Q2,2017,15
2017-04-17,April,4,Q2,2017,16
2017-04-18,April,4,Q2,2017,16
2017-04-19,April,4,Q2,2017,16
2017-04-20,April,4,Q2,2017,16
2017-04-21,April,4,Q2,2017,16
2017-04-22,April,4,Q2,2017,16
2017-04-23,April,4,Q2,2017,16
2017-04-24,April,4,Q2,2017,17
2017-04-25,April,4,Q2,2017,17
2017-04-26,April,4,Q2,2017,17
2017-04-27,April,4,Q2,2017,17
2017-04-28,April,4,Q2,2017,17
2017-04-29,April,4,Q2,2017,17
2017-04-30,April,4,Q2,2017,17
2017-05-01,May,5,Q2,2017,18
2017-05-02,May,5,Q2,2017,18
2017-05-03,May,5,Q2,2017,18
2017-05-04,May,5,Q2,2017,18
2017-05-05,May,5,Q2,2017,18
2017-05-06,May,5,Q2,2017,18
2017-05-07,May,5,Q2,2017,18
2017-05-08,May,5,Q2,2017,19
2017-05-09,May,5,Q2,2017,19
2017-05-10,May,5,Q2,2017,19
2017-05-11,May,5,Q2,2017,19
2017-05-12,May,5,Q2,2017,19
2017-05-13,May,5,Q2,2017,19
2017-05-14,May,5,Q2,2017,19
2017-05-15,May,5,Q2,2017,20
2017-05-16,May,5,Q2,2017,20
2017-05-17,May,5,Q2,2017,20
2017-05-18,May,5,Q2,2017,20
2017-05-19,May,5,Q2,2017,20
2017-05-20,May,5,Q2,2017,20
2017-05-21,May,5,Q2,2017,20
2017-05-22,May,5,Q2,2017,21
2017-05-23,May,5,Q2,2017,21
2017-05-24,May,5,Q2,2017,21
2017-05-25,May,5,Q2,2017,21
2017-05-26,May,5,Q2,2017,21
2017-05-27,May,5,Q2,2017,21
2017-05-28,May,5,Q2,2017,21
2017-05-29,May,5,Q2,2017,22
2017-05-30,May,5,Q2,2017,22
2017-05-31,May,5,Q2,2017,22
2017-06-01,June,6,Q2,2017,22
2017-06-02,June,6,Q2,2017,22
2017-06-03,June,6,Q2,2017,22
2017-06-04,June,6,Q2,2017,22
2017-06-05,June,6,Q2,2017,23
2017-06-06,June,6,Q2,2017,23
2017-06-07,June,6,Q2,2017,23
2017-06-08,June,6,Q2,2017,23
2017-06-09,June,6,Q2,2017,23
2017-06-10,June,6,Q2,2017,23
2017-06-11,June,6,Q2,2017,23
2017-06-12,June,6,Q2,2017,24
2017-06-13,June,6,Q2,2017,24
2017-06-14,June,6,Q2,2017,24
2017-06-15,June,6,Q2,2017,24
2017-06-16,June,6,Q2,2017,24
2017-06-17,June,6,Q2,2017,24
2017-06-18,June,6,Q2,2017,24
2017-06-19,June,6,Q2,2017,25
2017-06-20,June,6,Q2,2017,25
2017-06-21,June,6,Q2,2017,25
2017-06-22,June,6,Q2,2017,25
2017-06-23,June,6,Q2,2017,25
2017-06-24,June,6,Q2,2017,25
2017-06-25,June,6,Q2,2017,25
2017-06-26,June,6,Q2,2017,26
2017-06-27,June,6,Q2,2017,26
2017-06-28,June,6,Q2,2017,26
2017-06-29,June,6,Q2,2017,26
2017-06-30,June,6,Q2,2017,26
2017-07-01,July,7,Q3,2017,26
2017-07-02,July,7,Q3,2017,26
2017-07-03,July,7,Q3,2017,27
2017-07-04,July,7,Q3,2017,27
2017-07-05,July,7,Q3,2017,27
2017-07-06,July,7,Q3,2017,27
2017-07-07,July,7,Q3,2017,27
2017-07-08,July,7,Q3,2017,27
2017-07-09,July,7,Q3,2017,27
2017-07-10,July,7,Q3,2017,28
2017-07-11,July,7,Q3,2017,28
2017-07-12,July,7,Q3,2017,28
2017-07-13,July,7,Q3,2017,28
2017-07-14,July,7,Q3,2017,28
2017-07-15,July,7,Q3,2017,28
2017-07-16,July,7,Q3,2017,28
2017-07-17,July,7,Q3,2017,29
2017-07-18,July,7,Q3,2017,29
2017-07-19,July,7,Q3,2017,29
2017-07-20,July,7,Q3,2017,29
2017-07-21,July,7,Q3,2017,29
2017-07-22,July,7,Q3,2017,29
2017-07-23,July,7,Q3,2017,29
2017-07-24,July,7,Q3,2017,30
2017-07-25,July,7,Q3,2017,30
2017-07-26,July,7,Q3,2017,30
2017-07-27,July,7,Q3,2017,30
2017-07-28,July,7,Q3,2017,30
2017-07-29,July,7,Q3,2017,30
2017-07-30,July,7,Q3,2017,30
2017-07-31,July,7,Q3,2017,31
2017-08-01,August,8,Q3,2017,31
2017-08-02,August,8,Q3,2017,31
2017-08-03,August,8,Q3,2017,31
2017-08-04,August,8,Q3,2017,31
2017-08-05,August,8,Q3,2017,31
2017-08-06,August,8,Q3,2017,31
2017-08-07,August,8,Q3,2017,32
2017-08-08,August,8,Q3,2017,32
2017-08-09,August,8,Q3,2017,32
2017-08-10,August,8,Q3,2017,32
2017-08-11,August,8,Q3,2017,32
2017-08-12,August,8,Q3,2017,32
2017-08-13,August,8,Q3,2017,32
2017-08-14,August,8,Q3,2017,33
2017-08-15,August,8,Q3,2017,33
2017-08-16,August,8,Q3,2017,33
2017-08-17,August,8,Q3,2017,33
2017-08-18,August,8,Q3,2017,33
2017-08-19,August,8,Q3,2017,33
2017-08-20,August,8,Q3,2017,33
2017-08-21,August,8,Q3,2017,34
2017-08-22,August,8,Q3,2017,34
2017-08-23,August,8,Q3,2017,34
2017-08-24,August,8,Q3,2017,34
2017-08-25,August,8,Q3,2017,34
2017-08-26,August,8,Q3,2017,34
2017-08-27,August,8,Q3,2017,34
2017-08-28,August,8,Q3,2017,35
2017-08-29,August,8,Q3,2017,35
2017-08-30,August,8,Q3,2017,35
2017-08-31,August,8,Q3,2017,35
2017-09-01,September,9,Q3,2017,35
2017-09-02,September,9,Q3,2017,35
2017-09-03,September,9,Q3,2017,35
2017-09-04,September,9,Q3,2017,36
2017-09-05,September,9,Q3,2017,36
2017-09-06,September,9,Q3,2017,36
2017-09-07,September,9,Q3,2017,36
2017-09-08,September,9,Q3,2017,36
2017-09-09,September,9,Q3,2017,36
2017-09-10,September,9,Q3,2017,36
2017-09-11,September,9,Q3,2017,37
2017-09-12,September,9,Q3,2017,37
2017-09-13,September,9,Q3,2017,37
2017-09-14,September,9,Q3,2017,37
2017-09-15,September,9,Q3,2017,37
2017-09-16,September,9,Q3,2017,37
2017-09-17,September,9,Q3,2017,37
2017-09-18,September,9,Q3,2017,38
2017-09-19,September,9,Q3,2017,38
2017-09-20,September,9,Q3,2017,38
2017-09-21,September,9,Q3,2017,38
2017-09-22,September,9,Q3,2017,38
2017-09-23,September,9,Q3,2017,38
2017-09-24,September,9,Q3,2017,38
2017-09-25,September,9,Q3,2017,39
2017-09-26,September,9,Q3,2017,39
2017-09-27,September,9,Q3,2017,39
2017-09-28,September,9,Q3,2017,39
2017-09-29,September,9,Q3,2017,39
2017-09-30,September,9,Q3,2017,39
2017-10-01,October,10,Q4,2017,39
2017-10-02,October,10,Q4,2017,40
2017-10-03,October,10,Q4,2017,40
2017-10-04,October,10,Q4,2017,40
2017-10-05,October,10,Q4,2017,40
2017-10-06,October,10,Q4,2017,40
2017-10-07,October,10,Q4,2017,40
2017-10-08,October,10,Q4,2017,40
2017-10-09,October,10,Q4,2017,41
2017-10-10,October,10,Q4,2017,41
2017-10-11,October,10,Q4,2017,41
2017-10-12,October,10,Q4,2017,41
2017-10-13,October,10,Q4,2017,41
2017-10-14,October,10,Q4,2017,41
2017-10-15,October,10,Q4,2017,41
2017-10-16,October,10,Q4,2017,42
2017-10-17,October,10,Q4,2017,42
2017-10-18,October,10,Q4,2017,42
2017-10-19,October,10,Q4,2017,42
2017-10-20,October,10,Q4,2017,42
2017-10-21,October,10,Q4,2017,42
2017-10-22,October,10,Q4,2017,42
2017-10-23,October,10,Q4,2017,43
2017-10-24,October,10,Q4,2017,43
2017-10-25,October,10,Q4,2017,43
2017-10-26,October,10,Q4,2017,43
2017-10-27,October,10,Q4,2017,43
2017-10-28,October,10,Q4,2017,43
2017-10-29,October,10,Q4,2017,43
2017-10-30,October,10,Q4,2017,44
2017-10-31,October,10,Q4,2017,44
2017-11-01,November,11,Q4,2017,44
2017-11-02,November,11,Q4,2017,44
2017-11-03,November,11,Q4,2017,44
2017-11-04,November,11,Q4,2017,44
2017-11-05,November,11,Q4,2017,44
2017-11-06,November,11,Q4,2017,45
2017-11-07,November,11,Q4,2017,45
2017-11-08,November,11,Q4,2017,45
2017-11-09,November,11,Q4,2017,45
2017-11-10,November,11,Q4,2017,45
2017-11-11,November,11,Q4,2017,45
2017-11-12,November,11,Q4,2017,45
2017-11-13,November,11,Q4,2017,46
2017-11-14,November,11,Q4,2017,46
2017-11-15,November,11,Q4,2017,46
2017-11-16,November,11,Q4,2017,46
2017-11-17,November,11,Q4,2017,46
2017-11-18,November,11,Q4,2017,46
2017-11-19,November,11,Q4,2017,46
2017-11-20,November,11,Q4,2017,47
2017-11-21,November,11,Q4,2017,47
2017-11-22,November,11,Q4,2017,47
2017-11-23,November,11,Q4,2017,47
2017-11-24,November,11,Q4,2017,47
2017-11-25,November,11,Q4,2017,47
2017-11-26,November,11,Q4,2017,47
2017-11-27,November,11,Q4,2017,48
